emp no,Attrition,CF_attrition label,CF_age band,Department,Job Role,Business Travel,Over Time,Training Times Last Year,Daily Rate,Distance From Home,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
STAFF-201,No,Current Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,No,3,1181,3,2,79,3,1,2,1483,16102,1,14,3,4,80,0,1,3,1,0,0,0
STAFF-202,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Frequently,No,2,1395,26,2,54,3,2,2,5605,8504,1,11,3,1,80,1,20,3,20,7,2,13
STAFF-204,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,3,662,1,3,94,3,3,2,7295,11439,1,13,3,1,80,2,10,3,10,8,0,6
STAFF-205,No,Current Employees,45 - 54,Sales,Sales Representative,Travel_Rarely,Yes,3,1436,6,2,34,3,2,3,2306,16047,2,20,4,4,80,1,13,1,7,7,4,5
STAFF-206,No,Current Employees,45 - 54,R&D,Laboratory Technician,Travel_Rarely,No,2,194,9,2,60,3,2,2,2348,10901,8,18,3,3,80,1,20,1,17,9,0,15
STAFF-207,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Frequently,No,2,967,8,2,43,3,3,4,8998,15589,1,14,3,4,80,0,9,3,9,8,3,7
STAFF-208,No,Current Employees,25 - 34,R&D,Manufacturing Director,Non-Travel,No,1,1496,1,4,41,3,2,3,4319,26283,1,13,3,1,80,1,10,3,10,7,0,9
STAFF-211,No,Current Employees,45 - 54,R&D,Manufacturing Director,Travel_Rarely,No,2,1169,7,2,34,2,2,3,6132,13983,2,17,3,3,80,0,10,3,1,0,0,0
STAFF-214,No,Current Employees,Over 55,R&D,Research Scientist,Travel_Rarely,Yes,3,1145,9,2,75,2,1,2,3346,11873,4,20,4,2,80,1,9,2,1,0,0,0
STAFF-215,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,2,630,4,3,67,2,3,4,10855,8552,7,11,3,1,80,1,15,2,12,11,2,11
STAFF-216,No,Current Employees,25 - 34,Sales,Sales Representative,Travel_Frequently,No,3,303,2,3,75,3,1,3,2231,11314,6,18,3,4,80,1,6,3,4,3,1,2
STAFF-217,No,Current Employees,Under 25,R&D,Research Scientist,Travel_Rarely,No,6,1256,19,3,80,3,1,4,2323,11992,1,24,4,1,80,2,2,3,2,2,2,2
STAFF-218,No,Current Employees,25 - 34,R&D,Research Scientist,Non-Travel,No,1,691,9,4,57,3,1,2,2024,5970,6,18,3,4,80,1,6,1,2,2,2,2
STAFF-221,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,2,440,21,3,42,3,1,4,2713,6672,1,11,3,3,80,1,5,1,5,2,0,2
STAFF-223,No,Current Employees,Over 55,R&D,Healthcare Representative,Travel_Rarely,Yes,2,334,24,3,83,4,3,4,9439,23402,3,16,3,2,80,1,12,1,5,3,1,4
STAFF-224,No,Current Employees,25 - 34,R&D,Research Scientist,Non-Travel,Yes,2,1450,3,3,79,2,1,3,2566,25326,1,15,3,4,80,1,1,2,1,1,0,1
STAFF-226,No,Current Employees,45 - 54,R&D,Manager,Travel_Rarely,No,5,1452,11,3,53,3,5,2,19926,17053,3,15,3,2,80,0,21,3,5,4,4,4
STAFF-227,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,2,465,14,1,56,3,1,3,2451,4609,4,12,3,1,80,1,13,3,9,8,1,8
STAFF-228,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,2,1339,5,2,41,3,3,4,9419,8053,2,12,3,3,80,1,12,3,10,9,7,4
STAFF-230,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,2,702,1,1,59,2,2,4,8686,12930,4,22,4,3,80,0,12,4,8,3,0,7
STAFF-231,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,2,120,6,3,43,3,1,3,3038,12430,3,20,4,1,80,0,8,3,5,4,1,4
STAFF-233,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,Yes,3,1157,17,3,51,3,1,2,3058,13364,0,16,3,4,80,1,6,2,5,2,1,1
STAFF-235,Yes,Ex-Employees,Under 25,Sales,Sales Representative,Travel_Frequently,No,5,602,1,3,100,1,1,1,2325,20989,0,21,4,1,80,0,1,4,0,0,0,0
STAFF-238,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Frequently,No,3,1480,3,4,30,3,1,2,2088,15062,4,12,3,3,80,0,13,2,8,7,7,2
STAFF-239,No,Current Employees,25 - 34,R&D,Laboratory Technician,Non-Travel,No,4,111,9,3,66,3,2,1,3072,11012,1,11,3,3,80,2,12,3,12,9,6,10
STAFF-240,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,Yes,3,1268,4,3,30,3,2,1,5006,6319,4,11,3,1,80,1,9,4,5,4,0,3
STAFF-241,No,Current Employees,Over 55,R&D,Research Scientist,Travel_Rarely,Yes,3,713,8,3,67,3,1,1,4257,13939,4,18,3,3,80,1,19,3,2,2,2,2
STAFF-242,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,2,134,2,3,90,3,1,4,2500,10515,0,14,3,1,80,0,4,4,3,1,0,2
STAFF-243,Yes,Ex-Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,No,3,303,2,2,47,2,1,4,1102,9241,1,22,4,3,80,0,1,2,1,0,1,0
STAFF-244,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,No,2,526,1,2,92,3,3,1,10453,2137,1,25,4,3,80,3,24,3,24,13,15,7
STAFF-245,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,3,1380,9,3,75,3,1,4,2288,6319,1,12,3,3,80,0,2,3,2,2,2,1
STAFF-246,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,Yes,0,140,12,3,95,3,1,4,3929,6984,8,23,4,3,80,1,7,3,4,2,0,2
STAFF-247,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,629,27,4,95,3,1,2,2311,5711,2,15,3,4,80,0,9,3,3,2,1,2
STAFF-248,Yes,Ex-Employees,35 - 44,Sales,Sales Representative,Travel_Rarely,Yes,5,1356,20,2,70,3,1,2,3140,21728,1,22,4,4,80,0,4,2,4,3,0,2
STAFF-249,No,Current Employees,45 - 54,R&D,Laboratory Technician,Travel_Rarely,No,2,328,1,3,86,2,1,3,3690,3425,2,15,3,4,80,1,5,2,3,2,0,2
STAFF-250,No,Current Employees,45 - 54,R&D,Manufacturing Director,Travel_Rarely,No,3,1084,13,4,57,4,2,1,4450,26250,1,11,3,3,80,2,5,3,4,2,1,3
STAFF-252,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,5,931,14,4,72,3,1,2,2756,4673,1,13,3,4,80,1,8,3,8,7,1,6
STAFF-253,No,Current Employees,35 - 44,R&D,Manager,Travel_Rarely,No,2,989,4,4,46,3,5,3,19033,6499,1,14,3,2,80,1,21,3,20,8,9,9
STAFF-254,No,Current Employees,Over 55,R&D,Research Director,Travel_Rarely,No,3,692,14,3,61,4,5,2,18722,13339,8,11,3,4,80,0,36,3,24,15,2,15
STAFF-256,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Frequently,No,2,1069,2,4,45,2,2,3,9547,14074,1,17,3,3,80,0,10,2,10,9,1,9
STAFF-258,No,Current Employees,45 - 54,R&D,Healthcare Representative,Travel_Rarely,No,6,313,3,4,98,3,4,2,13734,7192,3,18,3,3,80,0,21,3,7,7,1,0
STAFF-259,No,Current Employees,45 - 54,R&D,Manager,Travel_Rarely,No,5,699,1,3,65,2,5,3,19999,5678,0,14,3,1,80,1,34,3,33,18,11,9
STAFF-260,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,2,894,9,4,99,3,1,2,2279,11781,1,16,3,4,80,0,7,2,7,7,0,3
STAFF-261,Yes,Ex-Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,Yes,1,556,23,2,50,2,2,3,5916,15497,3,13,3,1,80,0,8,3,1,0,0,1
STAFF-262,No,Current Employees,35 - 44,R&D,Research Scientist,Non-Travel,No,3,1344,7,4,37,4,1,4,2089,5228,4,14,3,4,80,3,7,4,5,4,2,2
STAFF-264,No,Current Employees,45 - 54,R&D,Manager,Non-Travel,No,1,1195,2,1,65,2,4,4,16792,20462,9,23,4,4,80,1,22,3,20,8,11,8
STAFF-267,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,Yes,3,290,21,2,65,4,1,1,3564,22977,1,12,3,1,80,1,8,2,8,7,1,7
STAFF-269,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Frequently,No,5,138,2,2,37,3,2,2,4425,15986,5,11,3,4,80,0,10,3,6,2,1,2
STAFF-270,No,Current Employees,35 - 44,R&D,Manufacturing Director,Non-Travel,No,5,926,21,3,36,3,2,3,5265,16439,2,16,3,2,80,1,11,3,5,3,0,2
STAFF-271,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,3,1261,2,4,88,3,2,3,6553,7259,9,14,3,2,80,0,14,3,1,0,0,0
STAFF-273,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,3,1084,29,4,54,3,2,4,6261,4185,3,18,3,1,80,1,9,1,7,7,1,7
STAFF-274,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Frequently,No,1,472,1,3,60,2,2,1,4298,9679,5,19,3,3,80,1,6,3,2,2,2,0
STAFF-275,No,Current Employees,45 - 54,R&D,Manufacturing Director,Non-Travel,Yes,0,1002,18,4,92,3,2,4,6804,23793,1,15,3,1,80,2,7,3,7,7,1,7
STAFF-277,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,Yes,4,878,10,4,43,3,1,3,3815,5972,1,17,3,4,80,1,5,4,5,3,2,0
STAFF-281,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,Yes,2,905,19,3,99,3,2,4,2741,16523,8,15,3,3,80,1,15,4,7,2,3,7
STAFF-282,Yes,Ex-Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,Yes,2,1180,29,2,70,3,2,1,6673,11354,7,19,3,2,80,0,17,3,1,0,0,0
STAFF-283,Yes,Ex-Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,3,121,27,2,35,3,3,4,7639,24525,1,22,4,4,80,3,10,2,10,4,1,9
STAFF-284,No,Current Employees,Under 25,R&D,Research Scientist,Travel_Rarely,Yes,2,1136,5,4,60,4,1,2,2328,12392,1,16,3,1,80,1,4,2,4,2,2,2
STAFF-286,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Frequently,No,2,635,18,2,73,3,1,4,2153,7703,1,13,3,1,80,0,8,3,8,1,1,7
STAFF-287,No,Current Employees,35 - 44,R&D,Healthcare Representative,Non-Travel,No,5,1151,9,4,63,2,2,4,4876,14242,9,14,3,4,80,1,5,1,3,2,0,2
STAFF-288,No,Current Employees,45 - 54,R&D,Healthcare Representative,Travel_Rarely,No,3,644,1,4,97,3,3,1,9396,12368,7,16,3,3,80,1,17,3,4,2,0,3
STAFF-291,Yes,Ex-Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,2,1045,4,4,32,1,3,4,10400,25812,1,11,3,3,80,0,14,2,14,8,9,8
STAFF-292,No,Current Employees,25 - 34,R&D,Manufacturing Director,Non-Travel,No,2,829,1,3,88,2,3,3,8474,20925,1,22,4,3,80,0,12,3,11,8,5,8
STAFF-293,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Frequently,No,2,1242,20,4,90,3,2,3,9981,12916,1,14,3,4,80,0,7,3,7,7,0,7
STAFF-296,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,No,5,1469,8,2,81,2,3,2,12490,15736,5,16,3,4,80,2,16,1,10,9,4,7
STAFF-297,Yes,Ex-Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,Yes,5,1005,3,4,88,3,1,1,2657,8556,5,11,3,3,80,0,8,3,5,2,0,4
STAFF-298,No,Current Employees,35 - 44,Sales,Manager,Travel_Rarely,Yes,3,896,6,4,75,3,3,4,13591,14674,3,18,3,3,80,0,16,3,1,0,0,0
STAFF-299,Yes,Ex-Employees,25 - 34,Sales,Sales Executive,Travel_Frequently,No,5,334,26,3,52,2,2,1,6696,22967,5,15,3,3,80,0,9,2,6,3,0,1
STAFF-300,Yes,Ex-Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,1,992,1,3,85,3,1,3,2058,19757,0,14,3,4,80,0,7,2,6,2,1,5
STAFF-302,No,Current Employees,45 - 54,Sales,Sales Executive,Non-Travel,No,2,1052,6,4,57,2,3,4,8865,16840,6,12,3,4,80,0,23,3,19,7,12,8
STAFF-303,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,No,4,1147,3,4,52,3,2,1,5940,17011,2,14,3,4,80,1,16,3,6,2,0,5
STAFF-304,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,3,1396,5,4,62,3,2,2,5914,9945,8,16,3,4,80,0,16,4,13,11,3,7
STAFF-305,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,147,4,3,47,2,1,2,2622,13248,6,21,4,4,80,0,7,3,3,2,1,1
STAFF-306,No,Current Employees,35 - 44,R&D,Research Director,Travel_Frequently,Yes,1,663,11,2,47,3,3,4,12185,10056,1,14,3,3,80,3,10,3,10,8,0,7
STAFF-307,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,6,119,3,1,76,3,3,3,10609,9647,0,12,3,3,80,2,17,2,16,10,5,13
STAFF-308,No,Current Employees,25 - 34,R&D,Manufacturing Director,Non-Travel,No,2,979,1,3,90,1,2,3,4345,4381,0,12,3,4,80,1,6,3,5,4,1,4
STAFF-309,No,Current Employees,Over 55,R&D,Research Scientist,Travel_Rarely,No,6,142,3,3,70,2,1,4,2177,8456,3,17,3,1,80,1,7,3,1,0,0,0
STAFF-311,No,Current Employees,35 - 44,Sales,Sales Representative,Travel_Frequently,No,2,319,4,1,41,3,1,4,2793,2539,4,17,3,3,80,1,13,3,9,8,5,8
STAFF-312,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Frequently,No,5,1413,1,2,42,3,3,4,7918,6599,1,14,3,4,80,1,11,3,11,10,4,1
STAFF-314,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Frequently,No,3,944,1,3,92,3,3,3,8789,9096,1,14,3,1,80,0,10,4,10,7,0,8
STAFF-315,Yes,Ex-Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,Yes,3,896,18,3,86,2,1,4,2389,14961,1,13,3,3,80,0,4,2,4,3,0,1
STAFF-316,No,Current Employees,45 - 54,R&D,Laboratory Technician,Travel_Rarely,No,3,1323,2,3,89,2,1,4,3212,3300,7,15,3,2,80,0,6,2,2,2,2,2
STAFF-319,No,Current Employees,35 - 44,R&D,Manager,Travel_Rarely,No,3,532,4,3,58,3,5,4,19232,4933,1,11,3,4,80,0,22,3,22,17,11,15
STAFF-321,No,Current Employees,Over 55,HR,Human Resources,Travel_Rarely,No,2,818,6,2,52,3,1,3,2267,25657,8,17,3,4,80,0,7,2,2,2,2,2
STAFF-323,No,Current Employees,45 - 54,Sales,Manager,Travel_Rarely,No,3,854,1,4,68,3,5,4,19517,24118,3,11,3,3,80,1,32,2,7,0,0,6
STAFF-325,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,Yes,2,813,14,3,58,3,1,4,2436,22149,5,13,3,3,80,1,8,1,5,4,0,4
STAFF-327,No,Current Employees,35 - 44,Sales,Manager,Travel_Rarely,Yes,3,1034,16,4,80,3,4,4,16064,7744,5,22,4,3,80,1,22,3,17,13,1,9
STAFF-328,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,3,465,2,1,39,3,1,1,2707,21509,7,20,4,1,80,0,13,4,9,7,1,7
STAFF-329,No,Current Employees,45 - 54,Sales,Manager,Non-Travel,Yes,2,771,2,1,79,2,5,3,19068,21030,1,18,3,4,80,0,33,4,33,7,15,12
STAFF-330,No,Current Employees,25 - 34,Sales,Sales Representative,Travel_Rarely,No,5,1401,4,3,56,3,1,2,3931,20990,2,11,3,1,80,1,6,3,4,3,1,2
STAFF-331,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,Yes,2,515,1,4,62,2,1,3,3730,9571,0,14,3,4,80,0,4,1,3,2,1,2
STAFF-332,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,1,1431,1,3,96,3,1,3,2232,15417,7,14,3,3,80,3,7,3,3,2,1,2
STAFF-333,No,Current Employees,25 - 34,Sales,Sales Executive,Non-Travel,No,2,976,26,3,100,3,2,4,4465,12069,0,18,3,1,80,0,4,3,3,2,2,2
STAFF-334,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,2,1411,19,3,36,3,2,1,3072,19877,2,16,3,1,80,2,17,2,1,0,0,0
STAFF-335,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,3,1300,24,1,62,3,2,4,3319,24447,1,17,3,1,80,2,9,3,9,8,4,7
STAFF-336,No,Current Employees,45 - 54,R&D,Manager,Travel_Rarely,No,2,252,1,3,70,4,5,4,19202,15970,0,11,3,3,80,1,25,3,24,0,1,7
STAFF-337,No,Current Employees,25 - 34,R&D,Research Director,Travel_Frequently,No,3,1327,3,2,73,3,3,3,13675,13523,9,12,3,1,80,1,9,3,2,2,2,2
STAFF-338,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,2,832,5,3,63,2,1,4,2911,14776,1,13,3,3,80,1,2,2,2,2,0,2
STAFF-339,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,3,470,2,4,84,2,2,1,5957,23687,6,13,3,2,80,1,13,3,11,9,5,9
STAFF-340,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,2,1017,1,3,83,2,1,1,3920,18697,2,14,3,1,80,1,17,2,3,1,0,2
STAFF-341,No,Current Employees,45 - 54,R&D,Manufacturing Director,Travel_Frequently,No,1,1199,7,1,77,4,2,3,6434,5118,4,17,3,4,80,1,9,3,3,2,0,2
STAFF-342,Yes,Ex-Employees,35 - 44,R&D,Manufacturing Director,Travel_Frequently,No,5,504,10,1,61,3,3,3,10048,22573,6,11,3,2,80,2,17,3,1,0,0,0
STAFF-343,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Frequently,No,1,505,2,3,64,3,3,3,10938,6420,0,25,4,4,80,0,20,3,19,6,11,8
STAFF-346,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,1,665,15,3,60,3,1,4,2340,22673,1,19,3,1,80,0,6,3,6,5,1,5
STAFF-347,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,Yes,1,916,17,4,82,4,2,1,6545,23016,3,13,3,3,80,0,10,3,3,2,0,2
STAFF-349,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,2,1247,20,4,45,3,2,4,6931,10732,2,14,3,4,80,1,10,3,3,2,0,2
STAFF-350,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,3,685,1,1,62,3,2,3,4898,7505,0,12,3,4,80,2,5,3,4,2,1,2
STAFF-351,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,Yes,4,269,2,4,56,2,1,1,2593,8007,0,11,3,3,80,1,10,3,9,6,7,8
STAFF-352,No,Current Employees,35 - 44,R&D,Research Director,Travel_Rarely,No,5,1416,2,1,49,3,5,3,19436,5949,0,19,3,4,80,1,22,3,21,7,3,9
STAFF-353,No,Current Employees,45 - 54,R&D,Research Scientist,Travel_Rarely,No,0,833,1,3,96,3,1,4,2723,23231,1,11,3,2,80,0,1,2,1,0,0,0
STAFF-355,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Frequently,No,2,307,29,3,71,2,1,2,3479,11652,0,11,3,2,80,0,6,4,5,4,1,4
STAFF-359,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Frequently,No,3,1311,7,2,100,4,1,2,2794,26062,1,20,4,3,80,0,5,1,5,1,0,3
STAFF-361,No,Current Employees,35 - 44,Sales,Sales Executive,Non-Travel,No,0,1327,2,4,39,2,2,4,5249,19682,3,18,3,4,80,1,13,3,8,7,7,5
STAFF-362,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,5,128,2,4,84,2,2,1,2176,19737,4,13,3,4,80,0,9,3,6,2,0,4
STAFF-363,No,Current Employees,45 - 54,Sales,Manager,Travel_Rarely,Yes,2,488,2,3,75,1,4,2,16872,14977,3,12,3,2,80,1,28,2,7,7,7,7
STAFF-364,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,5,529,2,1,79,3,1,3,3485,14935,2,11,3,3,80,0,5,1,0,0,0,0
STAFF-366,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,2,1210,2,1,78,2,2,2,6644,3687,2,19,3,2,80,2,10,3,0,0,0,0
STAFF-367,No,Current Employees,25 - 34,R&D,Healthcare Representative,Travel_Rarely,No,2,1463,23,2,64,2,2,4,5582,14408,0,21,4,2,80,1,10,3,9,0,7,8
STAFF-369,No,Current Employees,25 - 34,R&D,Healthcare Representative,Non-Travel,No,2,675,5,2,85,4,2,1,4000,18384,1,12,3,4,80,2,6,3,6,3,1,5
STAFF-372,No,Current Employees,45 - 54,R&D,Healthcare Representative,Travel_Rarely,Yes,2,1385,20,3,79,3,4,4,13496,7501,0,14,3,2,80,0,21,3,20,7,4,10
STAFF-373,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,4,1403,6,4,47,3,1,4,3210,20251,0,11,3,3,80,1,16,3,15,13,10,11
STAFF-374,No,Current Employees,Over 55,R&D,Manager,Travel_Rarely,Yes,2,452,1,4,81,3,5,1,19045,18938,0,14,3,3,80,0,37,3,36,10,4,13
STAFF-376,Yes,Ex-Employees,45 - 54,R&D,Manager,Non-Travel,Yes,2,666,29,1,88,3,3,2,11849,10268,1,12,3,4,80,1,10,2,10,7,9,9
STAFF-377,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,1158,9,4,94,3,1,4,2070,2613,1,23,4,4,80,1,5,2,5,2,0,4
STAFF-378,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,5,228,6,3,98,3,2,4,6502,22825,4,14,3,2,80,1,7,4,5,4,0,1
STAFF-379,No,Current Employees,Under 25,R&D,Research Scientist,Travel_Rarely,No,4,996,3,4,100,2,1,3,3230,10531,1,17,3,1,80,0,3,4,3,2,1,0
STAFF-380,No,Current Employees,35 - 44,R&D,Research Director,Non-Travel,Yes,2,728,1,1,80,3,3,4,13603,11677,2,18,3,1,80,2,15,3,5,2,0,2
STAFF-381,No,Current Employees,35 - 44,R&D,Manager,Travel_Rarely,No,6,1315,22,2,71,4,3,2,11996,19100,7,18,3,2,80,1,10,2,7,7,6,2
STAFF-382,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,Yes,3,322,7,1,44,4,2,1,5605,19191,1,24,4,3,80,1,8,3,8,0,7,7
STAFF-384,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Frequently,No,6,1479,1,3,84,3,2,2,6397,26767,1,20,4,1,80,1,6,1,6,5,1,4
STAFF-385,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,No,4,797,4,1,96,3,5,2,19144,15815,3,14,3,1,80,2,28,2,10,4,1,6
STAFF-386,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,Yes,5,1070,3,3,45,3,4,3,17584,21016,3,16,3,4,80,3,21,2,5,3,1,3
STAFF-387,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,3,635,1,2,99,3,2,3,4907,24532,1,25,4,3,80,0,20,3,20,16,11,6
STAFF-388,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Frequently,No,3,442,2,2,44,3,2,4,4554,20260,1,18,3,1,80,0,10,2,10,7,0,9
STAFF-389,No,Current Employees,Over 55,R&D,Laboratory Technician,Travel_Rarely,Yes,4,147,20,2,37,3,2,4,5415,15972,3,19,3,4,80,1,12,3,10,7,0,8
STAFF-390,No,Current Employees,25 - 34,R&D,Healthcare Representative,Travel_Frequently,Yes,3,496,11,1,60,3,2,1,4741,22722,1,13,3,3,80,1,5,3,5,3,3,3
STAFF-391,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,3,1372,1,4,42,3,1,4,2115,15881,1,12,3,2,80,0,17,3,17,12,5,7
STAFF-392,Yes,Ex-Employees,35 - 44,R&D,Laboratory Technician,Travel_Frequently,Yes,0,920,24,4,43,3,1,3,3161,19920,3,22,4,4,80,1,19,1,1,0,0,0
STAFF-393,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,2,688,23,4,82,3,2,4,5745,18899,9,14,3,2,80,1,10,3,2,2,1,2
STAFF-394,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,Yes,2,1449,16,1,45,3,1,2,2373,14180,2,13,3,4,80,1,5,3,3,2,0,2
STAFF-395,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,1117,8,4,66,3,1,4,3310,4488,1,21,4,4,80,0,5,3,5,3,0,2
STAFF-396,No,Current Employees,45 - 54,R&D,Research Director,Travel_Frequently,Yes,4,636,10,3,35,3,5,1,18665,25594,9,11,3,4,80,0,22,3,3,2,1,2
STAFF-397,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,2,506,3,3,30,3,2,2,4485,26285,4,12,3,4,80,0,10,3,8,0,7,7
STAFF-399,No,Current Employees,25 - 34,Sales,Sales Representative,Travel_Frequently,No,5,444,5,4,84,3,1,2,2789,3909,1,11,3,3,80,1,2,2,2,2,2,2
STAFF-401,Yes,Ex-Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,Yes,0,950,4,4,48,2,2,4,5828,8450,1,12,3,2,80,0,8,3,8,7,7,4
STAFF-403,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Frequently,Yes,3,889,9,2,53,3,1,4,2326,11411,1,12,3,3,80,3,4,2,4,2,1,2
STAFF-404,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Frequently,No,2,555,26,3,77,3,4,2,13525,14864,5,14,3,4,80,1,23,4,20,4,4,8
STAFF-405,Yes,Ex-Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,No,2,230,3,3,54,3,1,3,1420,25233,1,13,3,3,80,0,0,3,0,0,0,0
STAFF-406,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,3,1232,16,3,96,3,3,2,8020,5100,0,15,3,3,80,2,12,2,11,9,6,9
STAFF-407,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Frequently,No,2,566,18,3,81,4,1,4,3688,7122,4,18,3,4,80,2,4,3,1,0,0,0
STAFF-408,No,Current Employees,45 - 54,R&D,Manufacturing Director,Travel_Rarely,No,3,1302,2,4,84,1,2,2,5482,16321,5,18,3,4,80,1,13,3,4,1,1,2
STAFF-410,No,Current Employees,35 - 44,Sales,Manager,Travel_Rarely,No,2,334,2,4,88,3,4,2,16015,15896,1,19,3,2,80,0,22,3,22,10,0,4
